,station_id,year,month,day,rides,day_type,station_name,location,latitude,longitude
112,40010,2019,5,23,2013,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
113,40010,2019,5,24,1818,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
114,40010,2019,5,25,865,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
115,40010,2019,5,26,622,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
116,40010,2019,5,27,546,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
117,40010,2019,5,28,1856,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
118,40010,2019,5,29,1937,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
119,40010,2019,5,30,1974,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
120,40010,2019,5,31,1838,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
121,40010,2019,4,1,1875,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
122,40010,2019,4,2,1892,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
123,40010,2019,4,3,2004,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
124,40010,2019,4,4,1947,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
125,40010,2019,4,5,1772,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
126,40010,2019,4,6,798,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
127,40010,2019,4,7,550,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
128,40010,2019,4,8,1991,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
129,40010,2019,4,9,2060,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
130,40010,2019,4,10,1934,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
131,40010,2019,4,11,2009,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
132,40010,2019,4,12,1868,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
133,40010,2019,4,13,830,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
134,40010,2019,4,14,429,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
135,40010,2019,4,15,1833,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
136,40010,2019,4,16,1953,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
137,40010,2019,4,17,1927,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
138,40010,2019,4,18,1847,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
139,40010,2019,4,19,1532,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
140,40010,2019,4,20,735,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
141,40010,2019,4,21,543,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
142,40010,2019,4,22,1845,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
143,40010,2019,4,23,1969,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
144,40010,2019,4,24,1996,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
145,40010,2019,4,25,2070,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
146,40010,2019,4,26,1851,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
147,40010,2019,4,27,620,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
148,40010,2019,4,28,550,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
149,40010,2019,4,29,1714,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
150,40010,2019,4,30,1914,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
151,40010,2019,6,1,771,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
152,40010,2019,6,2,623,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
153,40010,2019,6,3,1867,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
154,40010,2019,6,4,1954,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
155,40010,2019,6,5,1949,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
156,40010,2019,6,6,1922,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
157,40010,2019,6,7,1805,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
158,40010,2019,6,8,896,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
159,40010,2019,6,9,626,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
160,40010,2019,6,10,1830,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
161,40010,2019,6,11,2002,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
162,40010,2019,6,12,1872,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
163,40010,2019,6,13,1866,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
164,40010,2019,6,14,1894,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
165,40010,2019,6,15,823,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
166,40010,2019,6,16,630,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
167,40010,2019,6,17,1749,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
168,40010,2019,6,18,1961,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
169,40010,2019,6,19,1919,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
170,40010,2019,6,20,1892,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
171,40010,2019,6,21,1804,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
172,40010,2019,6,22,878,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
173,40010,2019,6,23,669,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
174,40010,2019,6,24,1811,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
175,40010,2019,6,25,2027,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
176,40010,2019,6,26,2094,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
177,40010,2019,6,27,1952,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
178,40010,2019,6,28,1826,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
